#,Chart_1,Chart_4,Chart_7,Chart_8,Chart_9,Chart_11,Chart_12,Chart_13,Chart_20,Chart_24,Chart_26,Closure_2,Closure_10,Closure_11,Closure_13,Closure_18,Closure_19,Closure_21,Closure_22,Closure_25,Closure_31,Closure_38,Closure_40,Closure_46,Closure_59,Closure_62,Closure_70,Closure_73,Closure_86,Closure_92,Closure_102,Closure_109,Closure_115,Closure_125,Closure_126,Lang_6,Lang_7,Lang_10,Lang_13,Lang_18,Lang_21,Lang_22,Lang_27,Lang_33,Lang_39,Lang_57,Lang_58,Lang_59,Lang_63,Math_3,Math_5,Math_8,Math_11,Math_15,Math_28,Math_30,Math_32,Math_33,Math_50,Math_52,Math_56,Math_57,Math_59,Math_62,Math_63,Math_73,Math_75,Math_79,Math_80,Math_82,Math_85,Math_88,Math_89,Math_94,Math_96,Math_97,Math_101,Mockito_29,Mockito_38,Time_2,Time_7,Time_17,Time_18,Time_19,Time_26
Math_75,0.25,0,0.5,0,0.5,0.75,0.75,0.75,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.25,0,0.5,0,0,0.25,1,0,1,0,0,0,0,0.25,0.5,0,0,0,0,0.25,1,1,0.75,0,0.25,0.75,0.5,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0.5,0,0,0,1,0.75,0,0.75,0.75,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,1,0.25,0.75,0.75
Math_79,0.057007126,0,0.023752969,0.543942993,0.052256532,0.125890736,0.080760095,0.049881235,0,0.040380048,0,0.014251781,0,0,0,0.249406176,0.543942993,0,0,0,0.023752969,0.543942993,0.054631829,0,0,0.023752969,0.503562945,0,0.527315914,0,0,0,0,0.109263658,0.049881235,0,0,0,0,0.047505938,0.073634204,0.09263658,0.054631829,0,0.064133017,0.125890736,0.019002375,0,0.045130641,0,0,0.543942993,0.543942993,0,0.083135392,0.543942993,0.543942993,0,0.543942993,0.087885986,0.543942993,0.543942993,0.045130641,0.543942993,0,0,0.007125891,1,0,0.014251781,0.125890736,0.057007126,0.040380048,0.071258907,0,0.54631829,0,0,0.03087886,0,0.014251781,0.095011876,0.004750594,0.187648456,0.111638955
Math_80,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Math_82,0.333333333,0,0.833333333,0.5,0.666666667,1,1,0.833333333,0,0.833333333,0,0.333333333,0,0,0,0.833333333,0.5,0,0,0,0.333333333,0.5,0.833333333,0,0,0.666666667,1,0,1,0,0,0,0,0.333333333,0.833333333,0,0,0,0,0.666666667,1,1,0.833333333,0,0.666666667,1,0.833333333,0,0.666666667,0,0,0.5,0.5,0,0.833333333,0.5,0.5,0,0.5,0.666666667,0.5,0.5,0.666666667,0.5,0,0,0.5,1,0,1,1,0.833333333,0.833333333,0.666666667,0,0.5,0,0,0.833333333,0,0.833333333,1,0.333333333,1,0.833333333
Math_85,0.241935484,0,0.161290323,0.790322581,0.290322581,0.919354839,0.564516129,0.338709677,0,0.274193548,0,0.048387097,0,0,0,0.822580645,0.790322581,0,0,0,0.080645161,0.790322581,0.306451613,0,0,0.112903226,0.870967742,0,0.822580645,0,0,0,0,0.258064516,0.338709677,0,0,0,0,0.35483871,0.483870968,0.580645161,0.322580645,0,0.322580645,0.951612903,0.129032258,0,0.338709677,0,0,0.790322581,0.790322581,0,0.580645161,0.790322581,0.790322581,0,0.790322581,0.403225806,0.790322581,0.790322581,0.241935484,0.790322581,0,0,0.048387097,0.85483871,0,0.096774194,1,0.338709677,0.274193548,0.35483871,0,0.838709677,0,0,0.209677419,0,0.112903226,0.516129032,0.064516129,0.774193548,0.774193548
Math_88,0.541666667,0,0.416666667,0.708333333,0.666666667,0.875,0.875,0.708333333,0,0.666666667,0,0.041666667,0,0,0,0.916666667,0.708333333,0,0,0,0.083333333,0.708333333,0.75,0,0,0.208333333,1,0,0.958333333,0,0,0,0,0.583333333,0.75,0,0,0,0,0.75,0.916666667,0.875,0.75,0,0.708333333,0.875,0.333333333,0,0.75,0,0,0.708333333,0.708333333,0,0.833333333,0.708333333,0.708333333,0,0.708333333,0.625,0.708333333,0.708333333,0.708333333,0.708333333,0,0,0.083333333,1,0,0.208333333,0.875,1,0.666666667,0.791666667,0,0.708333333,0,0,0.5,0,0.25,0.958333333,0.041666667,0.958333333,0.833333333
Math_89,0.529411765,0,0.470588235,0.882352941,0.705882353,1,1,0.823529412,0,1,0,0.058823529,0,0,0,0.941176471,0.882352941,0,0,0,0.117647059,0.882352941,0.823529412,0,0,0.294117647,1,0,1,0,0,0,0,0.588235294,1,0,0,0,0,0.882352941,1,1,0.882352941,0,0.764705882,1,0.470588235,0,0.823529412,0,0,0.882352941,0.882352941,0,0.941176471,0.882352941,0.882352941,0,0.882352941,0.764705882,0.882352941,0.882352941,0.764705882,0.882352941,0,0,0.117647059,1,0,0.294117647,1,0.941176471,1,0.705882353,0,0.882352941,0,0,0.764705882,0,0.352941176,0.941176471,0.058823529,1,0.941176471
Math_94,0.416666667,0,0.222222222,0.444444444,0.5,0.555555556,0.638888889,0.5,0,0.333333333,0,0.055555556,0,0,0,0.944444444,0.444444444,0,0,0,0.083333333,0.444444444,0.472222222,0,0,0.138888889,0.833333333,0,0.833333333,0,0,0,0,0.583333333,0.388888889,0,0,0,0,0.527777778,0.583333333,0.555555556,0.444444444,0,0.583333333,0.611111111,0.166666667,0,0.527777778,0,0,0.444444444,0.444444444,0,0.694444444,0.444444444,0.444444444,0,0.444444444,0.472222222,0.444444444,0.444444444,0.444444444,0.444444444,0,0,0.055555556,0.833333333,0,0.111111111,0.611111111,0.527777778,0.333333333,1,0,0.5,0,0,0.222222222,0,0.111111111,0.722222222,0.138888889,0.805555556,0.694444444
Math_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_97,0.040100251,0,0.015037594,0.987468672,0.032581454,0.117794486,0.077694236,0.050125313,0,0.037593985,0,0,0,0,0,0.180451128,0.987468672,0,0,0,0.015037594,0.987468672,0.045112782,0,0.005012531,0.022556391,0.343358396,0,0.365914787,0,0,0,0,0.055137845,0.045112782,0.002506266,0.002506266,0,0.002506266,0.050125313,0.055137845,0.082706767,0.052631579,0,0.045112782,0.122807018,0.015037594,0,0.045112782,0,0.002506266,0.987468672,0.987468672,0,0.082706767,0.987468672,0.987468672,0,0.987468672,0.090225564,0.987468672,0.987468672,0.030075188,0.987468672,0,0,0,0.576441103,0,0.007518797,0.130325815,0.042606516,0.037593985,0.045112782,0,1,0,0,0.027568922,0.005012531,0.010025063,0.072681704,0.007518797,0.120300752,0.112781955
